codigo,ayuntamiento,CODPROV,provincia,salario,poblacion,dedicación
37315,"Tala, La",37,Salamanca,750,69,sin dedicación
42178,Talveila,42,Soria,756,69,sin dedicación
37316,Tamames,37,Salamanca,770,69,sin dedicación
34180,Támara de Campos,34,Palencia,774.08,69,sin dedicación
47162,Tamariz de Campos,47,Valladolid,782,69,sin dedicación
9375,Tamarón,9,Burgos,788.05,69,sin dedicación
49216,Tapioles,49,Zamora,790,68,sin dedicación
37317,Tarazona de Guareña,37,Salamanca,794.75,68,sin dedicación
37318,Tardáguila,37,Salamanca,800,68,sin dedicación
9377,Tardajos,9,Burgos,804,68,sin dedicación
42181,Tardelcuende,42,Soria,816,68,sin dedicación
34181,Tariego de Cerrato,34,Palencia,824.6,68,sin dedicación
42182,Taroda,42,Soria,825,68,sin dedicación
42183,Tejado,42,Soria,840,68,sin dedicación
37319,"Tejado, El",37,Salamanca,850,67,sin dedicación
37320,Tejeda y Segoyuela,37,Salamanca,860,67,sin dedicación
37321,Tenebrón,37,Salamanca,886.4,67,sin dedicación
37322,Terradillos,37,Salamanca,890,67,sin dedicación
9380,Terradillos de Esgueva,9,Burgos,900,67,sin dedicación
47163,Tiedra,47,Valladolid,900,66,sin dedicación
5242,Tiñosillos,5,Ávila,900,66,sin dedicación
9382,Tobar,9,Burgos,900,66,sin dedicación
40201,Tolocirio,40,Segovia,900,66,sin dedicación
24168,Toral de los Guzmanes,24,León,925,66,sin dedicación
24206,Toral de los Vados,24,León,960,66,exclusiva
47165,Tordesillas,47,Valladolid,975,65,exclusiva
37324,Tordillos,37,Salamanca,980,65,sin dedicación
9384,Tordómar,9,Burgos,992.46,65,sin dedicación
24169,Toreno,24,León,1000,65,sin dedicación
42184,Torlengua,42,Soria,1000,65,sin dedicación
5244,Tormellas,5,Ávila,1000,64,sin dedicación
37325,"Tornadizo, El",37,Salamanca,1000,64,sin dedicación
5245,Tornadizos de Ávila,5,Ávila,1010,64,parcial
49219,Toro,49,Zamora,1020,64,exclusiva
34182,Torquemada,34,Palencia,1030,64,sin dedicación
47169,Torre de Esgueva,47,Valladolid,1035,63,sin dedicación
47170,Torre de Peñafiel,47,Valladolid,1050,63,sin dedicación
24170,Torre del Bierzo,24,León,1055.92,63,parcial
49220,"Torre del Valle, La",49,Zamora,1062.5,63,sin dedicación
40206,Torre Val de San Pedro,40,Segovia,1072.5,62,sin dedicación
40202,Torreadrada,40,Segovia,1073.33,62,sin dedicación
42185,Torreblacos,42,Soria,1076.32,62,sin dedicación
40203,TORRECABALLEROS,40,Segovia,1077.26,62,parcial
47166,Torrecilla de la Abadesa,47,Valladolid,1083.03,62,parcial
47167,Torrecilla de la Orden,47,Valladolid,1090,62,sin dedicación
47168,Torrecilla de la Torre,47,Valladolid,1093.2,62,sin dedicación
9386,Torrecilla del Monte,9,Burgos,1100,62,sin dedicación
40204,Torrecilla del Pinar,40,Segovia,1103.95,62,sin dedicación
9387,Torregalindo,9,Burgos,1105.75,62,sin dedicación
49221,Torregamones,49,Zamora,1112.33,62,parcial
40205,Torreiglesias,40,Segovia,1131.24,61,sin dedicación
9388,Torrelara,9,Burgos,1135,61,sin dedicación
34184,Torremormojón,34,Palencia,1151.22,61,sin dedicación
49222,Torres del Carrizal,49,Zamora,1176.6,61,parcial
9390,Torresandino,9,Burgos,1200,61,parcial
47172,Torrescárcela,47,Valladolid,1200,61,sin dedicación
37327,Torresmenudas,37,Salamanca,1200,61,sin dedicación
42187,Torrubia de Soria,42,Soria,1200,61,sin dedicación
5246,Tórtoles,5,Ávila,1200,61,sin dedicación
9392,Tosantos,9,Burgos,1208.7,60,sin dedicación
24171,Trabadelo,24,León,1225,60,parcial
37328,Trabanca,37,Salamanca,1260,60,sin dedicación
49223,Trabazos,49,Zamora,1267.18,60,sin dedicación
47173,Traspinedo,47,Valladolid,1280,60,parcial
49224,Trefacio,49,Zamora,1330,60,sin dedicación
37329,Tremedal de Tormes,37,Salamanca,1350,60,sin dedicación
40207,Trescasas,40,Segovia,1350,59,sin dedicación
9394,Trespaderne,9,Burgos,1350,59,sin dedicación
42188,Trévago,42,Soria,1350,59,sin dedicación
47174,Trigueros del Valle,47,Valladolid,1350,59,sin dedicación
34185,Triollo,34,Palencia,1355.01,59,sin dedicación
24172,Truchas,24,León,1361.7,59,sin dedicación
9395,Tubilla del Agua,9,Burgos,1376.74,59,sin dedicación
9396,Tubilla del Lago,9,Burgos,1376.9,58,sin dedicación
47175,Tudela de Duero,47,Valladolid,1400,58,parcial
24173,Turcia,24,León,1400,58,parcial
40208,Turégano,40,Segovia,1403.46,58,sin dedicación
42189,Ucero,42,Soria,1410.6,58,sin dedicación
47176,"Unión de Campos, La",47,Valladolid,1428.49,57,sin dedicación
47177,Urones de Castroponce,47,Valladolid,1436.79,57,sin dedicación
47178,Urueña,47,Valladolid,1443.92,57,sin dedicación
40210,Urueñas,40,Segovia,1450,57,sin dedicación
42190,Vadillo,42,Soria,1480.73,57,sin dedicación
49226,Vadillo de la Guareña,49,Zamora,1495,57,sin dedicación
9400,Vadocondes,9,Burgos,1500,57,sin dedicación
24185,Val de San Lorenzo,24,León,1551,57,sin dedicación
47179,Valbuena de Duero,47,Valladolid,1570,57,sin dedicación
34186,Valbuena de Pisuerga,34,Palencia,1600,57,sin dedicación
